,Datum,Wijken en buurten,Soort misdrijf,Perioden,Geregistreerde misdrijven (aantal)
625,2012-04-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2012 april,241.0
626,2012-08-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2012 augustus,180.0
627,2012-12-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2012 december,189.0
628,2012-02-29,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2012 februari,223.0
629,2012-01-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2012 januari,240.0
630,2012-07-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2012 juli,240.0
631,2012-06-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2012 juni,228.0
632,2012-03-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2012 maart,216.0
633,2012-05-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2012 mei,228.0
634,2012-11-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2012 november,229.0
635,2012-10-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2012 oktober,238.0
636,2012-09-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2012 september,239.0
637,2013-04-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2013 april,331.0
638,2013-08-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2013 augustus,155.0
639,2013-12-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2013 december,222.0
640,2013-02-28,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2013 februari,244.0
641,2013-01-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2013 januari,234.0
642,2013-07-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2013 juli,249.0
643,2013-06-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2013 juni,283.0
644,2013-03-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2013 maart,267.0
645,2013-05-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2013 mei,209.0
646,2013-11-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2013 november,247.0
647,2013-10-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2013 oktober,244.0
648,2013-09-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2013 september,190.0
649,2014-02-28,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2014  februari,242.0
650,2014-04-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2014 april,209.0
651,2014-08-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2014 augustus,156.0
652,2014-12-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2014 december,179.0
653,2014-01-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2014 januari,242.0
654,2014-07-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2014 juli,239.0
655,2014-06-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2014 juni,177.0
656,2014-03-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2014 maart,272.0
657,2014-05-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2014 mei,199.0
658,2014-11-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2014 november,203.0
659,2014-10-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2014 oktober,248.0
660,2014-09-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2014 september ,175.0
661,2015-02-28,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2015  februari,235.0
662,2015-04-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2015 april,171.0
663,2015-08-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2015 augustus,126.0
664,2015-12-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2015 december,154.0
665,2015-01-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2015 januari,231.0
666,2015-07-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2015 juli,142.0
667,2015-06-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2015 juni,193.0
668,2015-03-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2015 maart,190.0
669,2015-05-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2015 mei,163.0
670,2015-11-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2015 november,170.0
671,2015-10-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2015 oktober,184.0
672,2015-09-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2015 september,171.0
673,2016-02-29,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2016  februari,171.0
674,2016-04-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2016 april,161.0
675,2016-08-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2016 augustus,122.0
676,2016-12-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2016 december,167.0
677,2016-01-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2016 januari,158.0
678,2016-07-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2016 juli,131.0
679,2016-06-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2016 juni,131.0
680,2016-03-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2016 maart,209.0
681,2016-05-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2016 mei,147.0
682,2016-11-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2016 november,204.0
683,2016-10-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2016 oktober,139.0
684,2016-09-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2016 september,132.0
685,2017-04-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2017 april,112.0
686,2017-08-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2017 augustus,106.0
687,2017-12-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2017 december,110.0
688,2017-02-28,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2017 februari,182.0
689,2017-01-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2017 januari,160.0
690,2017-07-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2017 juli,112.0
691,2017-06-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2017 juni,130.0
692,2017-03-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2017 maart,205.0
693,2017-05-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2017 mei,144.0
694,2017-11-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2017 november,113.0
695,2017-10-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2017 oktober,138.0
696,2017-09-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2017 september,102.0
697,2018-04-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2018 april,91.0
698,2018-08-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2018 augustus,81.0
699,2018-12-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2018 december,72.0
700,2018-02-28,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2018 februari,85.0
701,2018-01-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2018 januari ,99.0
702,2018-07-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2018 juli,67.0
703,2018-06-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2018 juni,89.0
704,2018-03-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2018 maart,80.0
705,2018-05-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2018 mei,97.0
706,2018-11-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2018 november,77.0
707,2018-10-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2018 oktober,96.0
708,2018-09-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2018 september,90.0
709,2019-04-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2019 april,66.0
710,2019-08-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2019 augustus,54.0
711,2019-12-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2019 december,63.0
712,2019-02-28,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2019 februari,55.0
713,2019-01-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2019 januari,70.0
714,2019-07-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2019 juli,78.0
715,2019-06-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2019 juni,74.0
716,2019-03-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2019 maart,81.0
717,2019-05-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2019 mei,70.0
718,2019-11-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2019 november,82.0
719,2019-10-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2019 oktober,70.0
720,2019-09-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2019 september,63.0
721,2020-04-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2020 april,20.0
722,2020-08-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2020 augustus,34.0
723,2020-12-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2020 december,28.0
724,2020-02-29,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2020 februari,54.0
725,2020-01-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2020 januari,60.0
726,2020-07-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2020 juli,39.0
727,2020-06-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2020 juni,35.0
728,2020-03-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2020 maart,48.0
729,2020-05-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2020 mei,24.0
730,2020-11-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2020 november,24.0
731,2020-10-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2020 oktober,33.0
732,2020-09-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2020 september,52.0
733,2021-04-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2021 april,23.0
734,2021-08-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2021 augustus,44.0
735,2021-12-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2021 december,29.0
736,2021-02-28,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2021 februari,25.0
737,2021-01-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2021 januari,22.0
738,2021-07-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2021 juli,45.0
739,2021-06-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2021 juni,36.0
740,2021-03-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2021 maart,32.0
741,2021-05-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2021 mei,33.0
742,2021-11-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2021 november,53.0
743,2021-10-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2021 oktober,52.0
744,2021-09-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2021 september,41.0
745,2022-01-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2022  januari,26.0
746,2022-04-30,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2022 april,53.0
747,2022-02-28,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2022 februari,40.0
748,2022-03-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2022 maart,52.0
749,2022-05-31,Rotterdam (Gemeente),1.2.4 Zakkenrollerij,2022 mei,75.0
1125,2012-04-30,Rotterdam (Gemeente),1.4.5 Mishandeling,2012 april,283.0
1126,2012-08-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2012 augustus,327.0
1127,2012-12-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2012 december,236.0
1128,2012-02-29,Rotterdam (Gemeente),1.4.5 Mishandeling,2012 februari,252.0
1129,2012-01-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2012 januari,303.0
1130,2012-07-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2012 juli,314.0
1131,2012-06-30,Rotterdam (Gemeente),1.4.5 Mishandeling,2012 juni,288.0
1132,2012-03-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2012 maart,292.0
1133,2012-05-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2012 mei,330.0
1134,2012-11-30,Rotterdam (Gemeente),1.4.5 Mishandeling,2012 november,294.0
1135,2012-10-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2012 oktober,273.0
1136,2012-09-30,Rotterdam (Gemeente),1.4.5 Mishandeling,2012 september,306.0
1137,2013-04-30,Rotterdam (Gemeente),1.4.5 Mishandeling,2013 april,312.0
1138,2013-08-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2013 augustus,309.0
1139,2013-12-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2013 december,258.0
1140,2013-02-28,Rotterdam (Gemeente),1.4.5 Mishandeling,2013 februari,216.0
1141,2013-01-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2013 januari,282.0
1142,2013-07-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2013 juli,307.0
1143,2013-06-30,Rotterdam (Gemeente),1.4.5 Mishandeling,2013 juni,294.0
1144,2013-03-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2013 maart,276.0
1145,2013-05-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2013 mei,298.0
1146,2013-11-30,Rotterdam (Gemeente),1.4.5 Mishandeling,2013 november,282.0
1147,2013-10-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2013 oktober,262.0
1148,2013-09-30,Rotterdam (Gemeente),1.4.5 Mishandeling,2013 september,269.0
1149,2014-02-28,Rotterdam (Gemeente),1.4.5 Mishandeling,2014  februari,249.0
1150,2014-04-30,Rotterdam (Gemeente),1.4.5 Mishandeling,2014 april,298.0
1151,2014-08-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2014 augustus,247.0
1152,2014-12-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2014 december,235.0
1153,2014-01-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2014 januari,271.0
1154,2014-07-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2014 juli,263.0
1155,2014-06-30,Rotterdam (Gemeente),1.4.5 Mishandeling,2014 juni,274.0
1156,2014-03-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2014 maart,306.0
1157,2014-05-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2014 mei,276.0
1158,2014-11-30,Rotterdam (Gemeente),1.4.5 Mishandeling,2014 november,249.0
1159,2014-10-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2014 oktober,229.0
1160,2014-09-30,Rotterdam (Gemeente),1.4.5 Mishandeling,2014 september ,276.0
1161,2015-02-28,Rotterdam (Gemeente),1.4.5 Mishandeling,2015  februari,216.0
1162,2015-04-30,Rotterdam (Gemeente),1.4.5 Mishandeling,2015 april,235.0
1163,2015-08-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2015 augustus,245.0
1164,2015-12-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2015 december,282.0
1165,2015-01-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2015 januari,226.0
1166,2015-07-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2015 juli,262.0
1167,2015-06-30,Rotterdam (Gemeente),1.4.5 Mishandeling,2015 juni,228.0
1168,2015-03-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2015 maart,246.0
1169,2015-05-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2015 mei,223.0
1170,2015-11-30,Rotterdam (Gemeente),1.4.5 Mishandeling,2015 november,243.0
1171,2015-10-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2015 oktober,258.0
1172,2015-09-30,Rotterdam (Gemeente),1.4.5 Mishandeling,2015 september,243.0
1173,2016-02-29,Rotterdam (Gemeente),1.4.5 Mishandeling,2016  februari,218.0
1174,2016-04-30,Rotterdam (Gemeente),1.4.5 Mishandeling,2016 april,243.0
1175,2016-08-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2016 augustus,251.0
1176,2016-12-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2016 december,249.0
1177,2016-01-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2016 januari,264.0
1178,2016-07-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2016 juli,235.0
1179,2016-06-30,Rotterdam (Gemeente),1.4.5 Mishandeling,2016 juni,244.0
1180,2016-03-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2016 maart,210.0
1181,2016-05-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2016 mei,250.0
1182,2016-11-30,Rotterdam (Gemeente),1.4.5 Mishandeling,2016 november,227.0
1183,2016-10-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2016 oktober,215.0
1184,2016-09-30,Rotterdam (Gemeente),1.4.5 Mishandeling,2016 september,224.0
1185,2017-04-30,Rotterdam (Gemeente),1.4.5 Mishandeling,2017 april,224.0
1186,2017-08-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2017 augustus,247.0
1187,2017-12-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2017 december,197.0
1188,2017-02-28,Rotterdam (Gemeente),1.4.5 Mishandeling,2017 februari,197.0
1189,2017-01-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2017 januari,259.0
1190,2017-07-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2017 juli,257.0
1191,2017-06-30,Rotterdam (Gemeente),1.4.5 Mishandeling,2017 juni,277.0
1192,2017-03-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2017 maart,257.0
1193,2017-05-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2017 mei,278.0
1194,2017-11-30,Rotterdam (Gemeente),1.4.5 Mishandeling,2017 november,217.0
1195,2017-10-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2017 oktober,243.0
1196,2017-09-30,Rotterdam (Gemeente),1.4.5 Mishandeling,2017 september,224.0
1197,2018-04-30,Rotterdam (Gemeente),1.4.5 Mishandeling,2018 april,230.0
1198,2018-08-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2018 augustus,219.0
1199,2018-12-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2018 december,224.0
1200,2018-02-28,Rotterdam (Gemeente),1.4.5 Mishandeling,2018 februari,184.0
1201,2018-01-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2018 januari ,229.0
1202,2018-07-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2018 juli,280.0
1203,2018-06-30,Rotterdam (Gemeente),1.4.5 Mishandeling,2018 juni,235.0
1204,2018-03-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2018 maart,208.0
1205,2018-05-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2018 mei,263.0
1206,2018-11-30,Rotterdam (Gemeente),1.4.5 Mishandeling,2018 november,234.0
1207,2018-10-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2018 oktober,221.0
1208,2018-09-30,Rotterdam (Gemeente),1.4.5 Mishandeling,2018 september,225.0
1209,2019-04-30,Rotterdam (Gemeente),1.4.5 Mishandeling,2019 april,238.0
1210,2019-08-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2019 augustus,234.0
1211,2019-12-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2019 december,232.0
1212,2019-02-28,Rotterdam (Gemeente),1.4.5 Mishandeling,2019 februari,198.0
1213,2019-01-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2019 januari,212.0
1214,2019-07-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2019 juli,290.0
1215,2019-06-30,Rotterdam (Gemeente),1.4.5 Mishandeling,2019 juni,310.0
1216,2019-03-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2019 maart,231.0
1217,2019-05-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2019 mei,222.0
1218,2019-11-30,Rotterdam (Gemeente),1.4.5 Mishandeling,2019 november,245.0
1219,2019-10-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2019 oktober,282.0
1220,2019-09-30,Rotterdam (Gemeente),1.4.5 Mishandeling,2019 september,235.0
1221,2020-04-30,Rotterdam (Gemeente),1.4.5 Mishandeling,2020 april,198.0
1222,2020-08-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2020 augustus,247.0
1223,2020-12-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2020 december,192.0
1224,2020-02-29,Rotterdam (Gemeente),1.4.5 Mishandeling,2020 februari,238.0
1225,2020-01-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2020 januari,224.0
1226,2020-07-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2020 juli,241.0
1227,2020-06-30,Rotterdam (Gemeente),1.4.5 Mishandeling,2020 juni,254.0
1228,2020-03-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2020 maart,245.0
1229,2020-05-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2020 mei,258.0
1230,2020-11-30,Rotterdam (Gemeente),1.4.5 Mishandeling,2020 november,193.0
1231,2020-10-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2020 oktober,211.0
1232,2020-09-30,Rotterdam (Gemeente),1.4.5 Mishandeling,2020 september,218.0
1233,2021-04-30,Rotterdam (Gemeente),1.4.5 Mishandeling,2021 april,205.0
1234,2021-08-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2021 augustus,209.0
1235,2021-12-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2021 december,217.0
1236,2021-02-28,Rotterdam (Gemeente),1.4.5 Mishandeling,2021 februari,184.0
1237,2021-01-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2021 januari,187.0
1238,2021-07-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2021 juli,224.0
1239,2021-06-30,Rotterdam (Gemeente),1.4.5 Mishandeling,2021 juni,250.0
1240,2021-03-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2021 maart,207.0
1241,2021-05-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2021 mei,231.0
1242,2021-11-30,Rotterdam (Gemeente),1.4.5 Mishandeling,2021 november,235.0
1243,2021-10-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2021 oktober,224.0
1244,2021-09-30,Rotterdam (Gemeente),1.4.5 Mishandeling,2021 september,240.0
1245,2022-01-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2022  januari,193.0
1246,2022-04-30,Rotterdam (Gemeente),1.4.5 Mishandeling,2022 april,234.0
1247,2022-02-28,Rotterdam (Gemeente),1.4.5 Mishandeling,2022 februari,174.0
1248,2022-03-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2022 maart,272.0
1249,2022-05-31,Rotterdam (Gemeente),1.4.5 Mishandeling,2022 mei,304.0
1250,2012-04-30,Rotterdam (Gemeente),1.4.6 Straatroof,2012 april,94.0
1251,2012-08-31,Rotterdam (Gemeente),1.4.6 Straatroof,2012 augustus,84.0
1252,2012-12-31,Rotterdam (Gemeente),1.4.6 Straatroof,2012 december,87.0
1253,2012-02-29,Rotterdam (Gemeente),1.4.6 Straatroof,2012 februari,163.0
1254,2012-01-31,Rotterdam (Gemeente),1.4.6 Straatroof,2012 januari,117.0
1255,2012-07-31,Rotterdam (Gemeente),1.4.6 Straatroof,2012 juli,86.0
1256,2012-06-30,Rotterdam (Gemeente),1.4.6 Straatroof,2012 juni,95.0
1257,2012-03-31,Rotterdam (Gemeente),1.4.6 Straatroof,2012 maart,134.0
1258,2012-05-31,Rotterdam (Gemeente),1.4.6 Straatroof,2012 mei,117.0
1259,2012-11-30,Rotterdam (Gemeente),1.4.6 Straatroof,2012 november,84.0
1260,2012-10-31,Rotterdam (Gemeente),1.4.6 Straatroof,2012 oktober,95.0
1261,2012-09-30,Rotterdam (Gemeente),1.4.6 Straatroof,2012 september,113.0
1262,2013-04-30,Rotterdam (Gemeente),1.4.6 Straatroof,2013 april,73.0
1263,2013-08-31,Rotterdam (Gemeente),1.4.6 Straatroof,2013 augustus,82.0
1264,2013-12-31,Rotterdam (Gemeente),1.4.6 Straatroof,2013 december,81.0
1265,2013-02-28,Rotterdam (Gemeente),1.4.6 Straatroof,2013 februari,77.0
1266,2013-01-31,Rotterdam (Gemeente),1.4.6 Straatroof,2013 januari,68.0
1267,2013-07-31,Rotterdam (Gemeente),1.4.6 Straatroof,2013 juli,71.0
1268,2013-06-30,Rotterdam (Gemeente),1.4.6 Straatroof,2013 juni,87.0
1269,2013-03-31,Rotterdam (Gemeente),1.4.6 Straatroof,2013 maart,76.0
1270,2013-05-31,Rotterdam (Gemeente),1.4.6 Straatroof,2013 mei,77.0
1271,2013-11-30,Rotterdam (Gemeente),1.4.6 Straatroof,2013 november,67.0
1272,2013-10-31,Rotterdam (Gemeente),1.4.6 Straatroof,2013 oktober,83.0
1273,2013-09-30,Rotterdam (Gemeente),1.4.6 Straatroof,2013 september,51.0
1274,2014-02-28,Rotterdam (Gemeente),1.4.6 Straatroof,2014  februari,64.0
1275,2014-04-30,Rotterdam (Gemeente),1.4.6 Straatroof,2014 april,47.0
1276,2014-08-31,Rotterdam (Gemeente),1.4.6 Straatroof,2014 augustus,54.0
1277,2014-12-31,Rotterdam (Gemeente),1.4.6 Straatroof,2014 december,60.0
1278,2014-01-31,Rotterdam (Gemeente),1.4.6 Straatroof,2014 januari,67.0
1279,2014-07-31,Rotterdam (Gemeente),1.4.6 Straatroof,2014 juli,52.0
1280,2014-06-30,Rotterdam (Gemeente),1.4.6 Straatroof,2014 juni,48.0
1281,2014-03-31,Rotterdam (Gemeente),1.4.6 Straatroof,2014 maart,59.0
1282,2014-05-31,Rotterdam (Gemeente),1.4.6 Straatroof,2014 mei,41.0
1283,2014-11-30,Rotterdam (Gemeente),1.4.6 Straatroof,2014 november,51.0
1284,2014-10-31,Rotterdam (Gemeente),1.4.6 Straatroof,2014 oktober,66.0
1285,2014-09-30,Rotterdam (Gemeente),1.4.6 Straatroof,2014 september ,73.0
1286,2015-02-28,Rotterdam (Gemeente),1.4.6 Straatroof,2015  februari,53.0
1287,2015-04-30,Rotterdam (Gemeente),1.4.6 Straatroof,2015 april,46.0
1288,2015-08-31,Rotterdam (Gemeente),1.4.6 Straatroof,2015 augustus,44.0
1289,2015-12-31,Rotterdam (Gemeente),1.4.6 Straatroof,2015 december,65.0
1290,2015-01-31,Rotterdam (Gemeente),1.4.6 Straatroof,2015 januari,51.0
1291,2015-07-31,Rotterdam (Gemeente),1.4.6 Straatroof,2015 juli,46.0
1292,2015-06-30,Rotterdam (Gemeente),1.4.6 Straatroof,2015 juni,55.0
1293,2015-03-31,Rotterdam (Gemeente),1.4.6 Straatroof,2015 maart,73.0
1294,2015-05-31,Rotterdam (Gemeente),1.4.6 Straatroof,2015 mei,53.0
1295,2015-11-30,Rotterdam (Gemeente),1.4.6 Straatroof,2015 november,61.0
1296,2015-10-31,Rotterdam (Gemeente),1.4.6 Straatroof,2015 oktober,70.0
1297,2015-09-30,Rotterdam (Gemeente),1.4.6 Straatroof,2015 september,56.0
1298,2016-02-29,Rotterdam (Gemeente),1.4.6 Straatroof,2016  februari,38.0
1299,2016-04-30,Rotterdam (Gemeente),1.4.6 Straatroof,2016 april,47.0
