,Wijken en buurten,Soort misdrijf,Afwijking t.o.v. lineaire trend,groeifactor t.o.v. zelfde maand vorig jaar,Aantal deze maand dit jaar,Aantal deze maand vorig jaar
334,Kralingen Oost,Totaal misdrijven,normale groei,1.5128205128205128,59.0,39.0
335,Kralingen Oost,Totaal registraties overlast,normale groei,0.7272727272727273,24.0,33.0
336,Kralingse Bos,Totaal misdrijven,normale groei,0.7857142857142857,22.0,28.0
337,De Esch,Totaal misdrijven,normale groei,1.7333333333333334,52.0,30.0
338,De Esch,Totaal registraties overlast,normale groei,1.15,23.0,20.0
339,Struisenburg,Totaal misdrijven,normale groei,1.8,36.0,20.0
340,Struisenburg,Totaal registraties overlast,normale groei,1.6153846153846154,21.0,13.0
341,Kop van Zuid,Totaal misdrijven,normale groei,1.8181818181818181,40.0,22.0
342,Kop van Zuid - Entrepot,Totaal misdrijven,normale groei,1.0263157894736843,39.0,38.0
343,Kop van Zuid - Entrepot,Totaal registraties overlast,normale groei,0.5625,27.0,48.0
344,Vreewijk,1.2.1 Diefstal uit/vanaf motorvoertuigen,normale groei,0.4666666666666667,7.0,15.0
345,Vreewijk,"1.2.3 Diefstal van brom-, snor-, fietsen",normale groei,1.25,10.0,8.0
346,Vreewijk,1.4.4 Bedreiging,normale groei,0.625,5.0,8.0
347,Vreewijk,1.4.5 Mishandeling,normale groei,3.0,9.0,3.0
348,Vreewijk,2.2.1 Vernieling cq. zaakbeschadiging,normale groei,2.75,11.0,4.0
349,Vreewijk,Geluidshinder overig,normale groei,0.5,10.0,20.0
350,Vreewijk,Overlast door verward persoon,normale groei,1.2272727272727273,27.0,22.0
351,Vreewijk,Totaal misdrijven,normale groei,1.02,102.0,100.0
352,Vreewijk,Totaal registraties overlast,normale groei,1.1014492753623188,76.0,69.0
353,Bloemhof,1.4.4 Bedreiging,normale groei,0.42857142857142855,3.0,7.0
354,Bloemhof,1.4.5 Mishandeling,normale groei,3.0,12.0,4.0
355,Bloemhof,2.2.1 Vernieling cq. zaakbeschadiging,normale groei,1.0,7.0,7.0
356,Bloemhof,Geluidshinder overig,normale groei,0.46153846153846156,12.0,26.0
357,Bloemhof,Melding overlast jeugd,normale groei,0.21428571428571427,3.0,14.0
358,Bloemhof,Overlast door verward persoon,normale groei,0.6923076923076923,9.0,13.0
359,Bloemhof,Overlast ivm alcohol/ drugs,normale groei,1.2222222222222223,11.0,9.0
360,Bloemhof,Totaal misdrijven,normale groei,0.9565217391304348,66.0,69.0
361,Bloemhof,Totaal registraties overlast,normale groei,0.4931506849315068,36.0,73.0
362,Hillesluis,1.4.5 Mishandeling,normale groei,0.6666666666666666,4.0,6.0
363,Hillesluis,2.2.1 Vernieling cq. zaakbeschadiging,normale groei,0.5,5.0,10.0
364,Hillesluis,Geluidshinder overig,normale groei,0.3333333333333333,5.0,15.0
365,Hillesluis,Totaal misdrijven,normale groei,0.8571428571428571,72.0,84.0
366,Hillesluis,Totaal registraties overlast,normale groei,0.7555555555555555,34.0,45.0
367,Katendrecht,Totaal misdrijven,normale groei,1.0689655172413792,31.0,29.0
368,Katendrecht,Totaal registraties overlast,normale groei,1.3333333333333333,12.0,9.0
369,Afrikaanderwijk,Totaal misdrijven,normale groei,0.6521739130434783,45.0,69.0
370,Afrikaanderwijk,Totaal registraties overlast,normale groei,0.6756756756756757,25.0,37.0
371,Feijenoord,Totaal misdrijven,normale groei,1.4444444444444444,26.0,18.0
372,Feijenoord,Totaal registraties overlast,normale groei,1.3333333333333333,32.0,24.0
373,Noordereiland,Totaal misdrijven,normale groei,1.4444444444444444,13.0,9.0
374,Noordereiland,Totaal registraties overlast,normale groei,0.6153846153846154,8.0,13.0
375,Oud IJsselmonde,1.2.1 Diefstal uit/vanaf motorvoertuigen,normale groei,5.0,15.0,3.0
376,Oud IJsselmonde,Totaal misdrijven,normale groei,1.1694915254237288,69.0,59.0
377,Oud IJsselmonde,Totaal registraties overlast,normale groei,0.8333333333333334,20.0,24.0
378,Lombardijen,"1.2.3 Diefstal van brom-, snor-, fietsen",normale groei,1.75,7.0,4.0
379,Lombardijen,1.4.5 Mishandeling,normale groei,0.5,5.0,10.0
380,Lombardijen,2.2.1 Vernieling cq. zaakbeschadiging,normale groei,1.2857142857142858,9.0,7.0
381,Lombardijen,Geluidshinder overig,normale groei,0.68,17.0,25.0
382,Lombardijen,Totaal misdrijven,normale groei,0.9518072289156626,79.0,83.0
383,Lombardijen,Totaal registraties overlast,normale groei,0.9508196721311475,58.0,61.0
384,Groot IJsselmonde,1.2.1 Diefstal uit/vanaf motorvoertuigen,normale groei,1.5,15.0,10.0
385,Groot IJsselmonde,"1.2.3 Diefstal van brom-, snor-, fietsen",normale groei,0.5833333333333334,7.0,12.0
386,Groot IJsselmonde,1.4.4 Bedreiging,normale groei,2.6666666666666665,8.0,3.0
387,Groot IJsselmonde,1.4.5 Mishandeling,normale groei,1.3,13.0,10.0
388,Groot IJsselmonde,2.2.1 Vernieling cq. zaakbeschadiging,normale groei,0.6,9.0,15.0
389,Groot IJsselmonde,2.5.2 Winkeldiefstal,normale groei,1.3333333333333333,8.0,6.0
390,Groot IJsselmonde,Geluidshinder overig,normale groei,0.7209302325581395,31.0,43.0
391,Groot IJsselmonde,Melding overlast jeugd,normale groei,0.7333333333333333,11.0,15.0
392,Groot IJsselmonde,Overlast door verward persoon,normale groei,0.8484848484848485,28.0,33.0
393,Groot IJsselmonde,Totaal misdrijven,normale groei,0.9671052631578947,147.0,152.0
394,Groot IJsselmonde,Totaal registraties overlast,normale groei,0.8282828282828283,82.0,99.0
395,Beverwaard,Geluidshinder overig,normale groei,1.4166666666666667,17.0,12.0
396,Beverwaard,Totaal misdrijven,normale groei,0.6521739130434783,30.0,46.0
397,Beverwaard,Totaal registraties overlast,normale groei,1.0740740740740742,29.0,27.0
398,Pernis,Totaal misdrijven,normale groei,0.8461538461538461,11.0,13.0
399,'s-Gravenland,Totaal misdrijven,normale groei,0.8181818181818182,27.0,33.0
400,'s-Gravenland,Totaal registraties overlast,normale groei,0.8333333333333334,15.0,18.0
401,Prinsenland,Geluidshinder overig,extreem lage groei,0.2,4.0,20.0
402,Prinsenland,Totaal misdrijven,normale groei,1.09375,35.0,32.0
403,Prinsenland,Totaal registraties overlast,extreem lage groei,0.35,14.0,40.0
404,Het Lage Land,2.2.1 Vernieling cq. zaakbeschadiging,normale groei,1.0,7.0,7.0
405,Het Lage Land,Overlast door verward persoon,normale groei,0.75,9.0,12.0
406,Het Lage Land,Totaal misdrijven,normale groei,0.7727272727272727,51.0,66.0
407,Het Lage Land,Totaal registraties overlast,normale groei,0.4897959183673469,24.0,49.0
408,Ommoord,1.2.1 Diefstal uit/vanaf motorvoertuigen,normale groei,0.5263157894736842,10.0,19.0
409,Ommoord,"1.2.3 Diefstal van brom-, snor-, fietsen",normale groei,0.6363636363636364,7.0,11.0
410,Ommoord,Geluidshinder overig,normale groei,0.7368421052631579,14.0,19.0
411,Ommoord,Totaal misdrijven,normale groei,0.7424242424242424,98.0,132.0
412,Ommoord,Totaal registraties overlast,normale groei,0.8032786885245902,49.0,61.0
413,Zevenkamp,2.2.1 Vernieling cq. zaakbeschadiging,normale groei,0.4,4.0,10.0
414,Zevenkamp,Geluidshinder overig,normale groei,0.7142857142857143,20.0,28.0
415,Zevenkamp,Melding overlast jeugd,normale groei,0.7272727272727273,8.0,11.0
416,Zevenkamp,Overlast door verward persoon,normale groei,1.5,33.0,22.0
417,Zevenkamp,Totaal misdrijven,normale groei,0.8813559322033898,52.0,59.0
418,Zevenkamp,Totaal registraties overlast,normale groei,1.046875,67.0,64.0
419,Oosterflank,"1.2.3 Diefstal van brom-, snor-, fietsen",normale groei,0.8888888888888888,8.0,9.0
420,Oosterflank,2.5.2 Winkeldiefstal,normale groei,0.8888888888888888,8.0,9.0
421,Oosterflank,Geluidshinder overig,extreem lage groei,0.18181818181818182,4.0,22.0
422,Oosterflank,Totaal misdrijven,normale groei,0.9733333333333334,73.0,75.0
423,Oosterflank,Totaal registraties overlast,normale groei,0.68,34.0,50.0
424,Nesselande,Totaal misdrijven,normale groei,0.9259259259259259,25.0,27.0
425,Nesselande,Totaal registraties overlast,normale groei,1.15,23.0,20.0
426,Charlois Zuidrand,Totaal misdrijven,normale groei,1.0714285714285714,15.0,14.0
427,Tarwewijk,1.2.1 Diefstal uit/vanaf motorvoertuigen,normale groei,1.0,4.0,4.0
428,Tarwewijk,1.4.5 Mishandeling,normale groei,1.6666666666666667,10.0,6.0
429,Tarwewijk,2.2.1 Vernieling cq. zaakbeschadiging,normale groei,0.5384615384615384,7.0,13.0
430,Tarwewijk,Geluidshinder overig,normale groei,0.6521739130434783,15.0,23.0
431,Tarwewijk,Totaal misdrijven,normale groei,0.9871794871794872,77.0,78.0
432,Tarwewijk,Totaal registraties overlast,normale groei,0.6666666666666666,58.0,87.0
433,Carnisse,"1.2.3 Diefstal van brom-, snor-, fietsen",normale groei,1.0,3.0,3.0
434,Carnisse,1.4.5 Mishandeling,normale groei,0.6666666666666666,6.0,9.0
435,Carnisse,2.2.1 Vernieling cq. zaakbeschadiging,normale groei,0.6666666666666666,6.0,9.0
436,Carnisse,Geluidshinder overig,normale groei,0.5,14.0,28.0
437,Carnisse,Overlast door verward persoon,normale groei,0.5625,9.0,16.0
438,Carnisse,Totaal misdrijven,normale groei,0.8852459016393442,54.0,61.0
439,Carnisse,Totaal registraties overlast,normale groei,0.8518518518518519,46.0,54.0
440,Zuidwijk,1.2.1 Diefstal uit/vanaf motorvoertuigen,normale groei,2.75,11.0,4.0
441,Zuidwijk,1.4.5 Mishandeling,normale groei,1.0,6.0,6.0
442,Zuidwijk,2.2.1 Vernieling cq. zaakbeschadiging,normale groei,0.7333333333333333,11.0,15.0
443,Zuidwijk,Geluidshinder overig,normale groei,0.6153846153846154,16.0,26.0
444,Zuidwijk,Overlast door verward persoon,normale groei,1.1176470588235294,19.0,17.0
445,Zuidwijk,Totaal misdrijven,normale groei,0.8867924528301887,94.0,106.0
446,Zuidwijk,Totaal registraties overlast,normale groei,0.7638888888888888,55.0,72.0
447,Oud Charlois,1.4.5 Mishandeling,normale groei,0.7777777777777778,7.0,9.0
448,Oud Charlois,2.2.1 Vernieling cq. zaakbeschadiging,normale groei,0.7,7.0,10.0
449,Oud Charlois,Geluidshinder overig,extreem lage groei,0.25,7.0,28.0
450,Oud Charlois,Overlast door verward persoon,normale groei,1.2307692307692308,16.0,13.0
451,Oud Charlois,Totaal misdrijven,normale groei,1.1408450704225352,81.0,71.0
452,Oud Charlois,Totaal registraties overlast,normale groei,0.72,36.0,50.0
453,Zuidplein,2.5.2 Winkeldiefstal,extreem hoge groei,4.6,23.0,5.0
454,Zuidplein,Totaal misdrijven,normale groei,1.5,75.0,50.0
455,Zuidplein,Totaal registraties overlast,normale groei,1.2727272727272727,28.0,22.0
456,Pendrecht,2.2.1 Vernieling cq. zaakbeschadiging,normale groei,0.5,2.0,4.0
457,Pendrecht,Geluidshinder overig,normale groei,0.47368421052631576,9.0,19.0
458,Pendrecht,Totaal misdrijven,normale groei,0.7142857142857143,50.0,70.0
459,Pendrecht,Totaal registraties overlast,extreem lage groei,0.42857142857142855,27.0,63.0
460,Zuiderpark,Totaal misdrijven,normale groei,1.2222222222222223,44.0,36.0
461,Hoogvliet Noord,Geluidshinder overig,normale groei,0.375,9.0,24.0
462,Hoogvliet Noord,Totaal misdrijven,normale groei,1.02,51.0,50.0
463,Hoogvliet Noord,Totaal registraties overlast,normale groei,0.4791666666666667,23.0,48.0
464,Hoogvliet Zuid,2.2.1 Vernieling cq. zaakbeschadiging,normale groei,0.5833333333333334,7.0,12.0
465,Hoogvliet Zuid,Geluidshinder overig,normale groei,1.1764705882352942,20.0,17.0
466,Hoogvliet Zuid,Overlast door verward persoon,normale groei,1.0,16.0,16.0
467,Hoogvliet Zuid,Totaal misdrijven,normale groei,0.8222222222222222,74.0,90.0
468,Hoogvliet Zuid,Totaal registraties overlast,normale groei,1.04,52.0,50.0
469,Strand en Duin,Totaal misdrijven,extreem hoge groei,2.8181818181818183,31.0,11.0
470,Dorp,Totaal misdrijven,normale groei,0.5666666666666667,17.0,30.0
471,Dorp,Totaal registraties overlast,normale groei,1.35,27.0,20.0
472,Spaanse Polder,1.2.1 Diefstal uit/vanaf motorvoertuigen,extreem hoge groei,12.0,12.0,1.0
473,Spaanse Polder,Totaal misdrijven,normale groei,1.7142857142857142,48.0,28.0
474,Nieuw Mathenesse,Totaal misdrijven,normale groei,1.1904761904761905,25.0,21.0
475,Waalhaven,Totaal misdrijven,normale groei,1.3333333333333333,12.0,9.0
476,Eemhaven,Totaal misdrijven,normale groei,0.6875,11.0,16.0
477,Waalhaven Zuid,Totaal misdrijven,normale groei,1.2,6.0,5.0
478,Botlek,Totaal misdrijven,normale groei,1.2142857142857142,17.0,14.0
479,Europoort,Totaal misdrijven,normale groei,0.75,6.0,8.0
480,Maasvlakte,Totaal misdrijven,normale groei,0.8695652173913043,20.0,23.0
481,Bedrijvenpark Noord-West,Totaal misdrijven,normale groei,2.0,8.0,4.0
482,Rozenburg,Geluidshinder overig,normale groei,1.0,15.0,15.0
483,Rozenburg,Melding overlast jeugd,normale groei,0.3125,5.0,16.0
484,Rozenburg,Totaal misdrijven,normale groei,0.8888888888888888,24.0,27.0
485,Rozenburg,Totaal registraties overlast,normale groei,0.75,27.0,36.0
