,Wijken en buurten,Soort misdrijf,Maand,Teststat,Totaal gemiddelde,Percentage verschil,P
3809,Kralingen-Crooswijk (Gebied),Melding overlast jeugd,juni,0.48109717485508596,0.6844701328423666,0.7028753363675004,0.0
3810,Kralingen-Crooswijk (Gebied),Melding overlast jeugd,juli,0.5404625525046681,0.6791494061089591,0.7957933079867245,0.0
3814,Kralingen-Crooswijk (Gebied),Melding overlast jeugd,november,-0.30941358238478495,0.7506997328465628,-0.41216690088795693,0.014
3815,Kralingen-Crooswijk (Gebied),Melding overlast jeugd,december,-0.29196899060327564,0.7491649474408096,-0.3897259096286585,0.022
3830,Kralingen-Crooswijk (Gebied),3.6.4 Aantasting openbare orde,maart,0.03746626345538931,0.05637537877334966,0.6645855738906494,0.036
3841,Kralingen-Crooswijk (Gebied),1.4.5 Mishandeling,februari,-0.12940564873267876,0.5106136447905081,-0.2534316308483504,0.005
3845,Kralingen-Crooswijk (Gebied),1.4.5 Mishandeling,juni,0.18003905889583458,0.48449111492243707,0.3716044595052219,0.0
3852,Kralingen-Crooswijk (Gebied),2.2.1 Vernieling cq. zaakbeschadiging,januari,0.3619507807185207,0.9427086472654342,0.3839476616327333,0.0
3943,Kralingen-Crooswijk (Gebied),1.2.1 Diefstal uit/vanaf motorvoertuigen,augustus,-0.4743621208026103,1.5952563400839264,-0.29735792855564147,0.003
3948,Kralingen-Crooswijk (Gebied),"1.2.3 Diefstal van brom-, snor-, fietsen",januari,-0.38260226602832487,1.5198803496313185,-0.25173183278613587,0.007
3953,Kralingen-Crooswijk (Gebied),"1.2.3 Diefstal van brom-, snor-, fietsen",juni,0.39967973606996604,1.45220330105883,0.2752229910085948,0.013
3959,Kralingen-Crooswijk (Gebied),"1.2.3 Diefstal van brom-, snor-, fietsen",december,-0.356456250512146,1.514885507933339,-0.2353024361546876,0.03
